Day,Week,Phase,Topic
1,1,Basics & Math,Time & Space Complexity Intro
2,1,Basics & Math,Big-O Notation Examples
3,1,Basics & Math,Python Basics for DSA (List/Tuple/Dict Complexity)
4,1,Basics & Math,Math - GCD & LCM
5,1,Basics & Math,Math - Prime Numbers (Sieve of Eratosthenes)
6,1,Basics & Math,Math - Factorial & Combinatorics
7,1,Basics & Math,"Bit Manipulation Basics (AND, OR, XOR)"
8,2,Basics & Math,Number Theory - Modular Arithmetic
9,2,Basics & Math,Recursion - Introduction & Basics
10,2,Basics & Math,Recursion - Factorial & Fibonacci
11,2,Basics & Math,Recursion - Sum of Digits & Power Function
12,2,Basics & Math,Recursion - Print Patterns
13,2,Basics & Math,Recursion - Tower of Hanoi
14,2,Basics & Math,Recursion - Practice & Revision Quiz
15,3,Arrays & Sorting,Array Basics - Traversal & In-place Ops
16,3,Arrays & Sorting,Largest/Smallest Element in Array
17,3,Arrays & Sorting,Second Largest Element
18,3,Arrays & Sorting,Reverse an Array
19,3,Arrays & Sorting,Move Zeroes to End
20,3,Arrays & Sorting,Rotate Array (Left/Right)
21,3,Arrays & Sorting,Maximum Subarray Sum - Kadane's Algorithm
22,4,Arrays & Sorting,Two Sum Problem
23,4,Arrays & Sorting,Sort Colors (Dutch National Flag)
24,4,Arrays & Sorting,Majority Element (Boyer-Moore Voting)
25,4,Arrays & Sorting,Missing Number in Array
26,4,Arrays & Sorting,Duplicate Number in Array
27,4,Arrays & Sorting,Union & Intersection of Two Arrays
28,4,Arrays & Sorting,Merge Two Sorted Arrays
29,5,Arrays & Sorting,Next Permutation
30,5,Arrays & Sorting,Trapping Rain Water
31,5,Arrays & Sorting,Product of Array Except Self
32,5,Arrays & Sorting,Maximum Product Subarray
33,5,Arrays & Sorting,Best Time to Buy and Sell Stock
34,5,Arrays & Sorting,3Sum Problem
35,5,Arrays & Sorting,4Sum Problem
36,6,Arrays & Sorting,Bubble Sort - Implementation
37,6,Arrays & Sorting,Selection Sort - Implementation
38,6,Arrays & Sorting,Insertion Sort - Implementation
39,6,Arrays & Sorting,Merge Sort - Implementation
40,6,Arrays & Sorting,Quick Sort - Implementation
41,6,Arrays & Sorting,Counting Sort & Radix Sort
42,6,Arrays & Sorting,Sorting - Practice & Revision Quiz
43,7,Searching & Recursion Adv,Linear Search
44,7,Searching & Recursion Adv,Binary Search - Iterative & Recursive
45,7,Searching & Recursion Adv,Search in Rotated Sorted Array
46,7,Searching & Recursion Adv,First and Last Position in Sorted Array
47,7,Searching & Recursion Adv,Search in 2D Matrix
48,7,Searching & Recursion Adv,Floor & Ceil in Sorted Array
49,7,Searching & Recursion Adv,Peak Element in Array
50,8,Searching & Recursion Adv,Median of Two Sorted Arrays
51,8,Searching & Recursion Adv,Allocate Minimum Pages (Binary Search on Answer)
52,8,Searching & Recursion Adv,Aggressive Cows Problem
53,8,Searching & Recursion Adv,Koko Eating Bananas
54,8,Searching & Recursion Adv,Capacity to Ship Packages
55,8,Searching & Recursion Adv,Backtracking Basics - Subsets
56,8,Searching & Recursion Adv,Searching - Practice & Revision Quiz
57,9,Strings,String Basics - Traversal & Manipulation
58,9,Strings,Reverse a String
59,9,Strings,Palindrome Check
60,9,Strings,Anagram Check
61,9,Strings,Longest Common Prefix
62,9,Strings,String to Integer (atoi)
63,9,Strings,Count and Say
64,10,Strings,Valid Parentheses
65,10,Strings,Longest Substring Without Repeating Characters
66,10,Strings,Longest Palindromic Substring
67,10,Strings,Group Anagrams
68,10,Strings,String Compression
69,10,Strings,Rabin-Karp Algorithm (Pattern Matching)
70,10,Strings,KMP Algorithm (Pattern Matching)
71,11,Strings,Z-Function Algorithm
72,11,Strings,Minimum Window Substring
73,11,Strings,Valid Anagram Variants
74,11,Strings,Roman to Integer
75,11,Strings,Integer to Roman
76,11,Strings,Reverse Words in a String
77,11,Strings,Implement strStr()
78,12,Strings,Longest Palindromic Subsequence
79,12,Strings,Edit Distance
80,12,Strings,Wildcard Matching
81,12,Strings,Regular Expression Matching
82,12,Strings,Word Break Problem
83,12,Strings,Isomorphic Strings
84,12,Strings,Strings - Practice & Revision Quiz
85,13,LinkedList,Singly Linked List - Implementation
86,13,LinkedList,Doubly Linked List - Implementation
87,13,LinkedList,Reverse a Linked List (Iterative)
88,13,LinkedList,Reverse a Linked List (Recursive)
89,13,LinkedList,Detect Cycle in Linked List (Floyd's Algorithm)
90,13,LinkedList,Find Middle of Linked List
91,13,LinkedList,Remove Nth Node from End
92,14,LinkedList,Merge Two Sorted Linked Lists
93,14,LinkedList,Merge K Sorted Lists
94,14,LinkedList,Add Two Numbers (Linked List)
95,14,LinkedList,Intersection of Two Linked Lists
96,14,LinkedList,Palindrome Linked List
97,14,LinkedList,Remove Duplicates from Sorted List
98,14,LinkedList,Rotate Linked List
99,15,LinkedList,Flatten a Multilevel Linked List
100,15,LinkedList,Copy List with Random Pointer
101,15,LinkedList,LRU Cache Implementation
102,15,LinkedList,LFU Cache Implementation
103,15,LinkedList,Sort a Linked List (Merge Sort)
104,15,LinkedList,Reorder List
105,15,LinkedList,LinkedList - Practice & Revision Quiz
106,16,Stack & Queue,Stack - Implementation (Array & Linked List)
107,16,Stack & Queue,Queue - Implementation (Array & Linked List)
108,16,Stack & Queue,Circular Queue Implementation
109,16,Stack & Queue,Min Stack Design
110,16,Stack & Queue,Valid Parentheses (Stack Application)
111,16,Stack & Queue,Next Greater Element
112,16,Stack & Queue,Next Smaller Element
113,17,Stack & Queue,Largest Rectangle in Histogram
114,17,Stack & Queue,Stock Span Problem
115,17,Stack & Queue,Sliding Window Maximum (Deque)
116,17,Stack & Queue,Implement Queue using Stacks
117,17,Stack & Queue,Implement Stack using Queues
118,17,Stack & Queue,Evaluate Reverse Polish Notation
119,17,Stack & Queue,Infix to Postfix Conversion
120,18,Stack & Queue,Postfix Expression Evaluation
121,18,Stack & Queue,Celebrity Problem
122,18,Stack & Queue,Trapping Rain Water using Stack
123,18,Stack & Queue,Design Stack with getMin() O(1)
124,18,Stack & Queue,Asteroid Collision
125,18,Stack & Queue,Remove K Digits
126,18,Stack & Queue,Stack & Queue - Practice & Revision Quiz
127,19,Trees,Binary Tree Intro & Inorder Traversal
128,19,Trees,Preorder Traversal
129,19,Trees,Postorder Traversal
130,19,Trees,Level Order Traversal (BFS)
131,19,Trees,Zigzag Level Order Traversal
132,19,Trees,Height of Binary Tree
133,19,Trees,Diameter of Binary Tree
134,20,Trees,Balanced Binary Tree Check
135,20,Trees,Symmetric Tree Check
136,20,Trees,Same Tree Check
137,20,Trees,Mirror of a Binary Tree
138,20,Trees,Maximum Path Sum in Binary Tree
139,20,Trees,Lowest Common Ancestor (LCA)
140,20,Trees,Vertical Order Traversal
141,21,Trees,Top View of Binary Tree
142,21,Trees,Bottom View of Binary Tree
143,21,Trees,Left/Right View of Binary Tree
144,21,Trees,Boundary Traversal of Binary Tree
145,21,Trees,Serialize and Deserialize Binary Tree
146,21,Trees,Construct Tree from Inorder & Preorder
147,21,Trees,Construct Tree from Inorder & Postorder
148,22,Trees,Root to Leaf Path Sum
149,22,Trees,Sum of Nodes in Binary Tree
150,22,Trees,Count Leaf Nodes
151,22,Trees,Invert a Binary Tree
152,22,Trees,Flatten Binary Tree to Linked List
153,22,Trees,Path Sum II (All Root-to-Leaf Paths)
154,22,Trees,Maximum Width of Binary Tree
155,23,Trees,Children Sum Property
156,23,Trees,Burning Tree Problem
157,23,Trees,Count Nodes in Complete Binary Tree
